"filename", "language", "HTML", "PHP", "JavaScript", "CSS", "Markdown", "JSON", "XML", "YAML", "comment", "blank", "total"
"c:\laragon\www\icei\resources\lang\vendor\adminlte\zh-CN\menu.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\laragon\www\icei\resources\markdown\policy.md", "Markdown", 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"c:\laragon\www\icei\resources\markdown\terms.md", "Markdown", 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"c:\laragon\www\icei\resources\views\admin\anterioresEstudiantes\excelForm.blade.php", "PHP", 0, 35, 0, 0, 0, 0, 0, 0, 0, 3, 38
"c:\laragon\www\icei\resources\views\admin\anterioresEstudiantes\index.blade.php", "PHP", 0, 30, 0, 0, 0, 0, 0, 0, 0, 5, 35
"c:\laragon\www\icei\resources\views\admin\aulas\form.blade.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\laragon\www\icei\resources\views\admin\aulas\index.blade.php", "PHP", 0, 72, 0, 0, 0, 0, 0, 0, 0, 9, 81
"c:\laragon\www\icei\resources\views\admin\busquedaPorPlanificacion\index.blade.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\laragon\www\icei\resources\views\admin\calendario\index.blade.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 0, 0, 6, 45
"c:\laragon\www\icei\resources\views\admin\carreras\create.blade.php", "PHP", 0, 58, 0, 0, 0, 0, 0, 0, 50, 3, 111
"c:\laragon\www\icei\resources\views\admin\carreras\edit.blade.php", "PHP", 0, 78, 0, 0, 0, 0, 0, 0, 49, 3, 130
"c:\laragon\www\icei\resources\views\admin\carreras\index.blade.php", "PHP", 0, 73, 0, 0, 0, 0, 0, 0, 0, 8, 81
"c:\laragon\www\icei\resources\views\admin\carreras\show.blade.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\laragon\www\icei\resources\views\admin\categoriaServiciosVarios\form.blade.php", "PHP", 0, 34, 0, 0, 0, 0, 0, 0, 0, 3, 37
"c:\laragon\www\icei\resources\views\admin\categoriaServiciosVarios\index.blade.php", "PHP", 0, 63, 0, 0, 0, 0, 0, 0, 0, 7, 70
"c:\laragon\www\icei\resources\views\admin\categorias\form.blade.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 0, 3, 35
"c:\laragon\www\icei\resources\views\admin\categorias\index.blade.php", "PHP", 0, 72, 0, 0, 0, 0, 0, 0, 0, 8, 80
"c:\laragon\www\icei\resources\views\admin\certificadoFinal\detalle-certificado-carrera.blade.php", "PHP", 0, 381, 0, 0, 0, 0, 0, 0, 0, 15, 396
"c:\laragon\www\icei\resources\views\admin\certificadoFinal\entregados.blade.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\laragon\www\icei\resources\views\admin\certificadoFinal\index.blade.php", "PHP", 0, 54, 0, 0, 0, 0, 0, 0, 0, 8, 62
"c:\laragon\www\icei\resources\views\admin\certificadoFinal\solicitados.blade.php", "PHP", 0, 99, 0, 0, 0, 0, 0, 0, 0, 5, 104
"c:\laragon\www\icei\resources\views\admin\certificadoFinal\verificacion.blade.php", "PHP", 0, 206, 0, 0, 0, 0, 0, 0, 0, 9, 215
"c:\laragon\www\icei\resources\views\admin\certificadosTalleres\entregados.blade.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\laragon\www\icei\resources\views\admin\certificadosTalleres\solicitados.blade.php", "PHP", 0, 114, 0, 0, 0, 0, 0, 0, 0, 5, 119
"c:\laragon\www\icei\resources\views\admin\certificados\entregados.blade.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\laragon\www\icei\resources\views\admin\certificados\solicitados.blade.php", "PHP", 0, 103, 0, 0, 0, 0, 0, 0, 0, 5, 108
"c:\laragon\www\icei\resources\views\admin\configuraciones\index.blade.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 0, 7, 34
"c:\laragon\www\icei\resources\views\admin\docentes\edit.blade.php", "PHP", 0, 54, 0, 0, 0, 0, 0, 0, 56, 3, 113
"c:\laragon\www\icei\resources\views\admin\docentes\form.blade.php", "PHP", 0, 65, 0, 0, 0, 0, 0, 0, 0, 3, 68
"c:\laragon\www\icei\resources\views\admin\docentes\index.blade.php", "PHP", 0, 73, 0, 0, 0, 0, 0, 0, 0, 10, 83
"c:\laragon\www\icei\resources\views\admin\docentes\profile.blade.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 0, 2, 35
"c:\laragon\www\icei\resources\views\admin\estudiantes\excelForm.blade.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 0, 0, 3, 42
"c:\laragon\www\icei\resources\views\admin\estudiantes\form.blade.php", "PHP", 0, 138, 0, 0, 0, 0, 0, 0, 0, 2, 140
"c:\laragon\www\icei\resources\views\admin\estudiantes\index.blade.php", "PHP", 0, 86, 0, 0, 0, 0, 0, 0, 0, 11, 97
"c:\laragon\www\icei\resources\views\admin\estudiantes\modulos-inscritos.blade.php", "PHP", 0, 83, 0, 0, 0, 0, 0, 0, 0, 6, 89
"c:\laragon\www\icei\resources\views\admin\estudiantes\show.blade.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 0, 3, 35
"c:\laragon\www\icei\resources\views\admin\horarios\form.blade.php", "PHP", 0, 61, 0, 0, 0, 0, 0, 0, 0, 3, 64
"c:\laragon\www\icei\resources\views\admin\horarios\index.blade.php", "PHP", 0, 63, 0, 0, 0, 0, 0, 0, 0, 10, 73
"c:\laragon\www\icei\resources\views\admin\inscripcionesTalleres\create.blade.php", "PHP", 0, 54, 0, 0, 0, 0, 0, 0, 0, 7, 61
"c:\laragon\www\icei\resources\views\admin\inscripcionesTalleres\detalle-certificado.blade.php", "PHP", 0, 85, 0, 0, 0, 0, 0, 0, 0, 2, 87
"c:\laragon\www\icei\resources\views\admin\inscripcionesTalleres\edit.blade.php", "PHP", 0, 198, 0, 0, 0, 0, 0, 0, 0, 13, 211
